"Libelle Arabe","Libelle Français","Population municipale (Effectif): Ensemble"
"بني مكادة","Bni Makada","567326"
"سيدي مومن","Sidi Moumen","551118"
"مكناس","Meknès","548421"
"الحي الحسني","Hay-Hassani","536887"
"المنارة","Ménara","519433"
"وجدة","Oujda","505007"
"أكادير","Agadir","501797"
"القنيطرة","Kénitra","500772"
"تطوان","Tétouan","419038"
"عين الشق","Aïn-Chock","374579"
"زواغة","Zouagha","358435"
"المدينة","Médina","342492"
"آسفي","Safi","321581"
"دار بوعزة","Dar Bouazza","302918"
"تمارة","Témara","295606"
"العيون","Laâyoune","258233"
"مغوغة","Mghogha","252177"
"مولاي رشيد","Moulay Rachid","244692"
"تابريكت","Tabriquet","237048"
"سايس","Saiss","236305"
"الجديدة","El Jadida","235681"
"حصين","Hssaine","232909"
"العيايدة","Layayda","226157"
"جيليز","Gueliz","217156"
"سيدي عثمان","Sidi Othmane","211894"
"آيت ملول","Ait Melloul","210480"
"بني ملال","Béni Mellal","209104"
"المرينيين","El Mariniyine","206387"
"بوسكورة","Bouskoura","200084"
"المحمدية","Mohammadia","193794"
"خريبكة","Khouribga","191807"
"جنان الورد","Jnan El Ouard","187724"
"سطات","Settat","171130"
"برشيد","Berrechid","167449"
"باب لمريسة","Bab Lamrissa","167279"
"يعقوب المنصور","Yacoub El Mansour","166573"
"الداخلة","Dakhla","161723"
"اليوسفية","El Youssoufia","157460"
"الناضور","Nador","155611"
"سيدي البرنوصي","Sidi Bernoussi","153621"
"تازة","Taza","149796"
"عين السبع","Aïn-Sebaâ","143697"
"المعاريف","Maârif","139116"
"إنزكان","Inezgane","137003"
"سيدي بليوط","Sidi Belyout","136392"
"العرائش","Larache","133592"
"أكدال","Agdal","126463"
"كلميم","Guelmim","126364"
"الفداء","Al-Fida","125777"
"الخميسات","Khémisset","125523"
"القصر الكبير","Ksar El Kebir","124655"
"الصخيرات","Skhirate","122067"
"خنيفرة","Khenifra","121542"
"بني يخلف","Bni Yakhlef","117649"
"ابن جرير","Ben Guerir","114455"
"آيت عميرة","Ait Amira","113205"
"سيدي يحيى زعير","Sidi Yahya Zaer","112563"
"ويسلان","Ouislane","112180"
"السواني","Souani","110723"
"الدشيرة الجهادية","Dcheira El Jihadia","110712"
"سيدي يوسف بن علي","Sidi Youssef Ben Ali","107955"
"الدراركة","Drargua","107467"
"تسلطانت","Tassoultante","105993"
"ابن مسيك","Ben-M'sick","105549"
"قلعة السراغنة","Kelâat Sraghna","105194"
"الصخور السوداء","Asoukhour Assawda","104694"
"حربيل","Harbil","104195"
"الحي المحمدي","Hay-Mohammadi","104137"
"مولاي عبد الله","My Abdellah","103755"
"سباتة","Sbata","101624"
"لقليعة","Lqliaa","101350"
"تيفلت","Tiflet","100792"
"تاوريرت","Taourirt","100363"
"أولاد تايمة","Oulad Teima","100172"
"بركان","Berkane","98838"
"عين العودة","Ain El Aouda","98454"
"الشلالات","Ech-challalate","98011"
"مرس السلطان","Mers-Sultan","97529"
"الفقيه بن صالح","Fquih Ben Salah","97215"
"الدروة","Deroua","96383"
"مرتيل","Martil","95895"
"الرشيدية","Errachidia","95724"
"المجاطية أولاد الطالب","Almajjatia Oulad Taleb","95449"
"سيدي سليمان","Sidi Slimane","95032"
"وادي زم","Oued Zem","93749"
"سعادة","Saada","91884"
"حسان","Hassan","91696"
"اكزناية","Gueznaia","88673"
"لهراويين","Lahraouyine","87805"
"صفرو","Sefrou","86735"
"تيزنيت","Tiznit","85830"
"عين الشقف","Ain Chkef","85408"
"واد الصفاء","Oued Essafa","83330"
"تارودانت","Taroudannt","82817"
"الصويرة","Essaouira","82136"
"أولاد عزوز","Oulad Azzouz","80966"
"مراكش المدينة","Marrakech-Médina","80631"
"جرسيف","Guercif","79267"
"الفنيدق","Fnideq","76293"
"سيدي الطيبي","Sidi Taibi","76227"
"طانطان","Tan-Tan","75963"
"ورزازات","Ouarzazate","75847"
"سيدي حجاج واد حصار","Sidi Hajjaj Oued Hassar","75699"
"بطانة","Bettana","75470"
"عامر","Ameur","75075"
"سيدي قاسم","Sidi Kacem","74891"
"حد السوالم","Had Soualem","74761"
"عين عتيق","Ain Attig","73280"
"سيدي بيبي","Sidi Bibi","72210"
"النخيل","Annakhil","71468"
"سوق الأربعاء","Souk El Arbaa","69036"
"المضيق","M'diq","67393"
"أكدال الرياض","Agdal Riyad","67255"
"أنفا","Anfa","66026"
"اليوسفية","Youssoufia","65602"
"بنسليمان","Benslimane","65343"
"ميدلت","Midelt","62149"
"عين حرودة","Ain Harrouda","60566"
"سوق السبت أولاد النمة","Souk Sebt Ouled Nemma","60171"
"مهدية","Mehdya","58526"
"أزرو","Azrou","57581"
"وزان","Ouezzane","57356"
"بوجدور","Boujdour","56861"
"آيت أورير","Ait Ourir","56836"
"أولاد الطيب","Oulad Tayeb","56324"
"سيدي بنور","Sidi Bennour","56116"
"تيط مليل","Tit Mellil","55942"
"بوزنيقة","Bouznika","55707"
"السمارة","Es-Semara","54190"
"بنمنصور","Ben Mansour","53524"
"سيدي محمد لحمر","Sidi Mohamed Lahmar","52679"
"تمسية","Temsia","52621"
"أولاد صالح","Ouled Salah","51621"
"اوريكة","Ourika","50450"
"بيوكرى","Biougra","50445"
"بني انصار","Bni Ansar","50113"
"الحسيمة","Al Hoceima","49561"
"فاس المدينة","Fès-Médina","49167"
"العوامرة","Laouamra","48156"
"قصبة تادلة","Kasba Tadla","47399"
"أزيلال","Azilal","47295"
"أبي الجعد","Bejaad","47193"
"ترميكت","Tarmigt","46963"
"العروي","Al Aaroui","46527"
"مريرت","M'rirt","46262"
"شفشاون","Chefchaouen","46005"
"أورير","Aourir","45879"
"السوالم الطريفية","Soualem Trifiya","45264"
"بوعرك","Bouarg","44625"
"تنغير","Tinghir","44156"
"الساحل أولاد احريز","Sahel Oulad H'riz","43774"
"سيدي عبد الله غيات","Sidi Abdellah Ghiat","43162"
"سيدي أبي القنادل","Sidi Bouknadel","42705"
"انشادن","Inchaden","42667"
"أزمور","Azemmour","42092"
"زاكورة","Zagora","41656"
"المناصرة","Mnasra","41433"
"أحد بوموسى","Had Boumoussa","41152"
"جرادة","Jerada","40882"
"الحاجب","El Hajeb","40735"
"العيون-سيدي ملوك","El Aioun Sidi Mellouk","40648"
"تمصلوحت","Tameslohte","40206"
"هوارة أولاد رحو","Houara Oulad Raho","39687"
"سيدي يحيى الغرب","Sidi Yahia El Gharb","39201"
"تاونات","Taounate","39071"
"بحارة أولاد عياد","Bahhara Ouled Ayad","38577"
"العطاوية","Laattaouia","38402"
"الاوداية","Loudaya","38246"
"شيشاوة","Chichaoua","38206"
"سيدي علي بن حمدوش","Sidi Ali Ben Hamdouche","38115"
"شتوكة","Chtouka","38024"
"عامر السفلية","Ameur Seflia","37935"
"الويدان","Al Ouidane","37448"
"برادية","Bradia","37006"
"زايو","Zaio","36759"
"زومي","Zoumi","36573"
"أكلموس","Aguelmous","36555"
"بلفاع","Belfaâ","36506"
"المكرن","Mograne","36452"
"واحة سيدي ابراهيم","Ouahat Sidi Brahim","36448"
"اغواطيم","Aghouatim","36090"
"دار العسلوجي","Dar Laaslouji","36072"
"أولاد احسين","Ouled Hcine","36015"
"حوزية","Haouzia","35775"
"للا ميمونة","Lalla Mimouna","35487"
"عرباوة","Arbaoua","35072"
"الغنادرة","Laghnadra","34610"
"امزورن","Imzouren","34497"
"سيدي رحال الشاطئ","Sidi Rahal Chatai","34428"
"النواصر","Nouaceur","34271"
"سيدي الكامل","Sidi Al Kamel","34016"
"أصيلة","Assilah","33975"
"دمنات","Demnate","33628"
"بن احمد","Ben Ahmed","33332"
"أولاد احسين","Ouled H'cine","33223"
"آيت فاسكا","Ait Faska","33069"
"عين تاوجطات","Ain Taoujdate","33048"
"القصيبية","Kceibya","33007"
"سيدي اسماعيل","Sidi Smail","32691"
"مولاي بوسلهام","Moulay Bousselham","32629"
"مشرع بلقصيري","Mechraa Bel Ksiri","32615"
"السويهلة","Souihla","32500"
"دار بلعامري","Dar Bel Amri","32493"
"لقصير","Laqsir","32375"
"جرف الملحة","Jorf El Melha","31945"
"أولاد رحمون","Oulad Rahmoune","31420"
"ازغنغان","Zeghanghane","31346"
"ايير","Ayir","30867"
"أولاد برحيل","Oulad Berhil","30274"
