"Libelle Arabe","Libelle Français","Population municipale (Effectif): Ensemble"
"الدار البيضاء","Casablanca","3199416"
"مراكش","Marrakech","1560103"
"طنجة-أصيلة","Tanger-Assilah","1487236"
"القنيطرة","Kénitra","1274663"
"فاس","Fès","1252549"
"سلا","Salé","1078924"
"مكناس","Meknès","930428"
"الجديدة","El Jadida","910178"
"تارودانت","Taroudannt","853692"
"الصخيرات-تمارة","Skhirate-Témara","776479"
"أكادير-إدا وتنان","Agadir-Ida-Ou-Tanane","717720"
"آسفي","Safi","713540"
"النواصر","Nouaceur","669860"
"سطات","Settat","648653"
"الحوز","Al Haouz","641264"
"برشيد","Berrechid","639110"
"إنزكان-آيت ملول","Inezgane-Aït Melloul","627863"
"تاونات","Taounate","610570"
"تطوان","Tétouan","607887"
"بني ملال","Béni Mellal","576266"
"أزيلال","Azilal","572867"
"وجدة-أنجاد","Oujda-Angad","567165"
"الناضور","Nador","558888"
"قلعة السراغنة","El Kelâa Des-Sraghna","558666"
"الخميسات","Khémisset","556429"
"سيدي قاسم","Sidi Kacem","545330"
"خريبكة","Khouribga","518610"
"المحمدية","Mohammadia","513246"
"العرائش","Larache","508287"
"الرباط","Rabat","506843"
"تازة","Taza","499755"
"اشتوكة-آيت باها","Chtouka-Aït Baha","491216"
"الفقيه بن صالح","Fquih Ben Salah","475093"
"سيدي بنور","Sidi Bennour","451411"
"الصويرة","Essaouira","425375"
"الرشيدية","Errachidia","423055"
"شفشاون","Chefchaouen","411977"
"شيشاوة","Chichaoua","378577"
"الحسيمة","Al Hoceima","369471"
"خنيفرة","Khénifra","367963"
"سيدي سليمان","Sidi Slimane","349988"
"مديونة","Médiouna","344447"
"الرحامنة","Rehamna","341142"
"تنغير","Tinghir","322785"
"ميدلت","Midelt","312588"
"صفرو","Sefrou","304162"
"ورزازات","Ouarzazate","301353"
"العيون","Laâyoune","290401"
"زاكورة","Zagora","283363"
"بركان","Berkane","281159"
"بنسليمان","Benslimane","274775"
"وزان","Ouezzane","272113"
"الحاجب","El Hajeb","266448"
"المضيق-الفنيدق","M'diq-Fnideq","252283"
"اليوسفية","Youssoufia","245520"
"تاوريرت","Taourirt","219437"
"جرسيف","Guercif","213911"
"مولاي يعقوب","Moulay Yacoub","210571"
"بولمان","Boulemane","202952"
"تيزنيت","Tiznit","196348"
"كلميم","Guelmim","193061"
"الدريوش","Driouch","187580"
"وادي الذهب","Oued Ed-Dahab","178052"
"إفران","Ifrane","159438"
"فجيج","Figuig","139679"
"طاطا","Tata","107521"
"سيدي إفني","Sidi Ifni","103654"
"جرادة","Jerada","101559"
"الفحص-أنجرة","Fahs-Anjra","99401"
"طانطان","Tan-Tan","92312"
"بوجدور","Boujdour","58090"
"السمارة","Es-Semara","55460"
"آسا-الزاك","Assa-Zag","28636"
"طرفاية","Tarfaya","15218"
"أوسرد","Aousserd","8559"
